Scene,Name
1.1.1,Myriel
1.1.1,Napoleon
1.1.1,Mlle.Baptistine
1.1.10,Myriel
1.1.10,OldMan
1.1.11,Myriel
1.1.12,Myriel
1.1.13,Myriel
1.1.14,Myriel
1.1.14,Count
1.1.2,Myriel
1.1.2,Mme.Magloire
1.1.2,Mlle.Baptistine
1.1.3,Myriel
1.1.4,Myriel
1.1.4,Mme.Magloire
1.1.4,CountessdeLo
1.1.4,Geborand
1.1.4,Champtercier
1.1.4,Mlle.Baptistine
1.1.5,Myriel
1.1.5,Mlle.Baptistine
1.1.5,Mme.Magloire
1.1.6,Mme.Magloire
1.1.6,Myriel
1.1.7,Myriel
1.1.7,Cravatte
1.1.7,Mlle.Baptistine
1.1.7,Mme.Magloire
1.1.8,Count
1.1.8,Myriel
1.1.9,Mlle.Baptistine
1.2.1,Labarre
1.2.1,Valjean
1.2.1,Marguerite
1.2.1,Mme.deR
1.2.10,Valjean
1.2.11,Valjean
1.2.12,Myriel
1.2.12,Mme.Magloire
1.2.12,Valjean
1.2.13,Gervais
1.2.13,Valjean
1.2.2,Mme.Magloire
1.2.2,Mlle.Baptistine
1.2.2,Myriel
1.2.3,Mme.Magloire
1.2.3,Mlle.Baptistine
1.2.3,Myriel
1.2.3,Valjean
1.2.4,Myriel
1.2.4,Valjean
1.2.4,Mlle.Baptistine
1.2.4,Mme.Magloire
1.2.5,Myriel
1.2.5,Mme.Magloire
1.2.5,Valjean
1.2.6,Valjean
1.2.6,Isabeau
1.2.7,Valjean
1.2.9,Valjean
1.3.2,Tholomyes
1.3.2,Listolier
1.3.2,Fameuil
1.3.2,Blacheville
1.3.3,Tholomyes
1.3.3,Listolier
1.3.3,Fameuil
1.3.3,Blacheville
1.3.3,Favourite
1.3.3,Dahlia
1.3.3,Zephine
1.3.3,Fantine
1.3.4,Tholomyes
1.3.4,Listolier
1.3.4,Fameuil
1.3.4,Blacheville
1.3.4,Favourite
1.3.4,Dahlia
1.3.4,Zephine
1.3.4,Fantine
1.3.6,Blacheville
1.3.6,Favourite
1.3.6,Dahlia
1.3.7,Tholomyes
1.3.8,Tholomyes
1.3.8,Listolier
1.3.8,Fameuil
1.3.8,Blacheville
1.3.8,Favourite
1.3.8,Dahlia
1.3.8,Zephine
1.3.8,Fantine
1.3.9,Favourite
1.3.9,Dahlia
1.3.9,Zephine
1.3.9,Fantine
1.4.1,Mme.Thenardier
1.4.1,Fantine
1.4.1,Thenardier
1.4.3,Cosette
1.4.3,Thenardier
1.4.3,Mme.Thenardier
1.5.1,Valjean
1.5.10,Marguerite
1.5.10,Fantine
1.5.12,Bamatabois
1.5.12,Fantine
1.5.12,Javert
1.5.13,Fantine
1.5.13,Javert
1.5.13,Valjean
1.5.2,Valjean
1.5.3,Valjean
1.5.4,Myriel
1.5.5,Javert
1.5.6,Fauchelevent
1.5.6,Valjean
1.5.6,Javert
1.5.7,Fauchelevent
1.5.8,Fantine
1.5.9,Marguerite
1.5.9,Fantine
1.6.1,Valjean
1.6.1,Fantine
1.6.2,Valjean
1.6.2,Javert
1.7.1,Perpetue
1.7.1,Simplice
1.7.1,Valjean
1.7.1,Fantine
1.7.10,Judge
1.7.10,Champmathieu
1.7.10,Brevet
1.7.10,Chenildieu
1.7.10,Cochepaille
1.7.10,Valjean
1.7.10,Bamatabois
1.7.11,Valjean
1.7.11,Brevet
1.7.11,Chenildieu
1.7.11,Cochepaille
1.7.11,Judge
1.7.11,Champmathieu
1.7.2,Valjean
1.7.2,Scaufflaire
1.7.3,Valjean
1.7.4,Valjean
1.7.4,Woman1
1.7.5,Valjean
1.7.6,Simplice
1.7.6,Fantine
1.7.7,Valjean
1.7.8,Valjean
1.7.9,Valjean
1.7.9,Judge
1.7.9,Champmathieu
1.7.9,Bamatabois
1.8.1,Simplice
1.8.1,Valjean
1.8.1,Fantine
1.8.2,Valjean
1.8.2,Fantine
1.8.3,Valjean
1.8.3,Fantine
1.8.3,Javert
1.8.4,Valjean
1.8.4,Fantine
1.8.4,Javert
1.8.5,Valjean
1.8.5,Woman1
1.8.5,Fantine
1.8.5,Perpetue
1.8.5,Simplice
1.8.5,Javert
2.1.10,Napoleon
2.1.19,Thenardier
2.1.19,Pontmercy
2.1.4,Napoleon
2.1.7,Napoleon
2.1.8,Napoleon
2.1.9,Napoleon
2.2.1,Valjean
2.2.2,Thenardier
2.2.2,Boulatruelle
2.3.1,Cosette
2.3.10,Thenardier
2.3.10,Valjean
2.3.2,Thenardier
2.3.2,Mme.Thenardier
2.3.3,Mme.Thenardier
2.3.3,Cosette
2.3.4,Mme.Thenardier
2.3.4,Cosette
2.3.5,Cosette
2.3.6,Valjean
2.3.6,Cosette
2.3.7,Cosette
2.3.7,Valjean
2.3.8,Mme.Thenardier
2.3.8,Valjean
2.3.8,Cosette
2.3.8,Thenardier
2.3.8,Eponine
2.3.8,Anzelma
2.3.9,Mme.Thenardier
2.3.9,Valjean
2.3.9,Thenardier
2.4.1,Cosette
2.4.1,Valjean
2.4.2,Cosette
2.4.2,Valjean
2.4.3,Cosette
2.4.3,Valjean
2.4.3,Woman2
2.4.4,Woman2
2.4.4,Valjean
2.4.4,Cosette
2.4.5,Javert
2.4.5,Valjean
2.4.5,Cosette
2.4.5,Woman2
2.5.1,Cosette
2.5.1,Valjean
2.5.10,Javert
2.5.10,Thenardier
2.5.10,Woman2
2.5.10,Valjean
2.5.2,Cosette
2.5.2,Valjean
2.5.3,Cosette
2.5.3,Valjean
2.5.4,Cosette
2.5.4,Valjean
2.5.5,Cosette
2.5.5,Valjean
2.5.6,Cosette
2.5.6,Valjean
2.5.7,Cosette
2.5.7,Valjean
2.5.8,Valjean
2.5.8,Fauchelevent
2.5.9,Valjean
2.5.9,Fauchelevent
2.6.7,MotherInnocent
2.8.1,Valjean
2.8.1,Fauchelevent
2.8.2,Fauchelevent
2.8.2,MotherInnocent
2.8.3,Fauchelevent
2.8.3,MotherInnocent
2.8.4,Fauchelevent
2.8.4,Valjean
2.8.4,Cosette
2.8.5,Gribier
2.8.5,Fauchelevent
2.8.6,Valjean
2.8.7,Fauchelevent
2.8.7,Gribier
2.8.7,Valjean
2.8.8,Fauchelevent
2.8.8,MotherInnocent
2.8.8,Valjean
2.8.9,Fauchelevent
2.8.9,Valjean
3.1.8,Jondrette
3.1.8,Mme.Burgon
3.1.8,Gavroche
3.2.1,Gillenormand
3.2.2,Gillenormand
3.2.3,Gillenormand
3.2.4,Gillenormand
3.2.5,Gillenormand
3.2.6,Gillenormand
3.2.6,Magnon
3.2.7,Gillenormand
3.2.8,Mlle.Gillenormand
3.2.8,Mme.Pontmercy
3.2.8,Mlle.Vaubois
3.2.8,Lt.Gillenormand
3.2.8,Gillenormand
3.2.8,Marius
3.3.1,BaronessT
3.3.1,Gillenormand
3.3.1,Mlle.Gillenormand
3.3.1,Marius
3.3.2,Pontmercy
3.3.2,Mme.Pontmercy
3.3.2,Mlle.Gillenormand
3.3.2,Marius
3.3.3,BaronessT
3.3.3,Marius
3.3.4,Gillenormand
3.3.4,Marius
3.3.4,Pontmercy
3.3.5,Marius
3.3.5,Mabeuf
3.3.5,Gillenormand
3.3.5,Mlle.Gillenormand
3.3.6,Marius
3.3.7,Lt.Gillenormand
3.3.7,Mlle.Gillenormand
3.3.7,Marius
3.3.8,Gillenormand
3.3.8,Mlle.Gillenormand
3.3.8,Marius
3.4.1,Enjolras
3.4.1,Combeferre
3.4.1,Prouvaire
3.4.1,Feuilly
3.4.1,Courfeyrac
3.4.1,Bahorel
3.4.1,Bossuet
3.4.1,Joly
3.4.1,Grantaire
3.4.2,Marius
3.4.2,Bossuet
3.4.2,Courfeyrac
3.4.3,Courfeyrac
3.4.3,Marius
3.4.3,Enjolras
3.4.4,Grantaire
3.4.4,Bossuet
3.4.4,Joly
3.4.4,Bahorel
3.4.5,Courfeyrac
3.4.5,Enjolras
3.4.5,Marius
3.4.5,Combeferre
3.4.6,Courfeyrac
3.4.6,Marius
3.5.1,Marius
3.5.2,Marius
3.5.3,Marius
3.5.4,Mabeuf
3.5.4,MotherPlutarch
3.5.5,Mabeuf
3.5.6,Gillenormand
3.5.6,Mlle.Gillenormand
3.5.6,Lt.Gillenormand
3.6.1,Marius
3.6.1,Cosette
3.6.1,Valjean
3.6.2,Marius
3.6.2,Valjean
3.6.2,Cosette
3.6.3,Marius
3.6.3,Cosette
3.6.4,Marius
3.6.5,Marius
3.6.6,Marius
3.6.6,Cosette
3.6.6,Tholomyes
3.6.7,Marius
3.6.8,Marius
3.6.8,Cosette
3.6.9,Marius
3.7.3,Gueulemer
3.7.3,Babet
3.7.3,Claquesous
3.7.3,Montparnasse
3.8.1,Marius
3.8.10,Marius
3.8.11,Marius
3.8.11,Eponine
3.8.12,Thenardier
3.8.12,Mme.Thenardier
3.8.13,Marius
3.8.14,Marius
3.8.14,Valjean
3.8.15,Courfeyrac
3.8.15,Bossuet
3.8.16,Thenardier
3.8.16,Mme.Thenardier
3.8.16,Eponine
3.8.16,Anzelma
3.8.17,Thenardier
3.8.17,Mme.Thenardier
3.8.18,Thenardier
3.8.18,Mme.Thenardier
3.8.18,Valjean
3.8.19,Thenardier
3.8.19,Mme.Thenardier
3.8.19,Valjean
3.8.2,Marius
3.8.20,Thenardier
3.8.20,Babet
3.8.20,Gueulemer
3.8.20,Claquesous
3.8.20,Valjean
3.8.20,Mme.Thenardier
3.8.20,Javert
3.8.21,Thenardier
3.8.21,Javert
3.8.21,Babet
3.8.21,Mme.Thenardier
3.8.21,Gueulemer
3.8.21,Claquesous
3.8.21,Montparnasse
3.8.21,Valjean
3.8.22,Mme.Burgon
3.8.22,Gavroche
3.8.3,Marius
3.8.4,Marius
3.8.4,Thenardier
3.8.5,Marius
3.8.6,Thenardier
3.8.7,Thenardier
3.8.7,Eponine
3.8.7,Mme.Thenardier
3.8.8,Thenardier
3.8.8,Valjean
3.8.8,Cosette
3.8.9,Thenardier
3.8.9,Valjean
4.1.6,Enjolras
4.1.6,Combeferre
4.1.6,Courfeyrac
4.1.6,Grantaire
4.11.1,Gavroche
4.11.2,Gavroche
4.11.3,Gavroche
4.11.4,Combeferre
4.11.4,Gavroche
4.11.4,Courfeyrac
4.11.4,Bahorel
4.11.5,Combeferre
4.11.5,Courfeyrac
4.11.5,Bahorel
4.11.5,Mabeuf
4.11.6,Courfeyrac
4.11.6,Eponine
4.12.1,Mme.Hucheloup
4.12.2,Bossuet
4.12.2,Joly
4.12.2,Grantaire
4.12.2,Mme.Hucheloup
4.12.3,Gavroche
4.12.3,Bahorel
4.12.3,Courfeyrac
4.12.3,Bossuet
4.12.3,Enjolras
4.12.3,Feuilly
4.12.3,Joly
4.12.3,Grantaire
4.12.3,Prouvaire
4.12.4,Bahorel
4.12.4,Courfeyrac
4.12.4,Mme.Hucheloup
4.12.4,Gavroche
4.12.4,Enjolras
4.12.5,Courfeyrac
4.12.5,Enjolras
4.12.6,Enjolras
4.12.6,Combeferre
4.12.6,Courfeyrac
4.12.6,Prouvaire
4.12.6,Feuilly
4.12.6,Bossuet
4.12.6,Joly
4.12.6,Bahorel
4.12.7,Enjolras
4.12.7,Javert
4.12.7,Gavroche
4.12.8,Claquesous
4.12.8,Enjolras
4.12.8,Combeferre
4.12.8,Prouvaire
4.13.1,Marius
4.13.3,Marius
4.14.1,Enjolras
4.14.1,Combeferre
4.14.1,Gavroche
4.14.1,Courfeyrac
4.14.1,Bossuet
4.14.1,Joly
4.14.1,Bahorel
4.14.1,Feuilly
4.14.1,Mabeuf
4.14.2,Mabeuf
4.14.3,Enjolras
4.14.3,Javert
4.14.3,Courfeyrac
4.14.3,Prouvaire
4.14.3,Combeferre
4.14.3,Joly
4.14.3,Bahorel
4.14.3,Bossuet
4.14.3,Gavroche
4.14.3,Marius
4.14.4,Marius
4.14.5,Marius
4.14.5,Courfeyrac
4.14.5,Combeferre
4.14.5,Bossuet
4.14.5,Gavroche
4.14.5,Enjolras
4.14.5,Javert
4.14.6,Marius
4.14.6,Eponine
4.14.7,Marius
4.14.7,Gavroche
4.15.1,Javert
4.15.1,Cosette
4.15.1,Toussaint
4.15.1,Valjean
4.15.2,Valjean
4.15.2,Gavroche
4.15.3,Valjean
4.15.4,Gavroche
4.2.1,Marius
4.2.3,Mabeuf
4.2.3,Eponine
4.2.4,Marius
4.2.4,Eponine
4.3.1,Valjean
4.3.2,Valjean
4.3.4,Valjean
4.3.4,Cosette
4.3.5,Valjean
4.3.5,Cosette
4.3.6,Cosette
4.3.6,Marius
4.3.7,Valjean
4.3.7,Cosette
4.3.8,Valjean
4.3.8,Cosette
4.4.1,Valjean
4.4.1,Cosette
4.4.2,Mabeuf
4.4.2,MotherPlutarch
4.4.2,Montparnasse
4.4.2,Valjean
4.5.1,Cosette
4.5.1,Lt.Gillenormand
4.5.2,Valjean
4.5.2,Cosette
4.5.3,Cosette
4.5.3,Toussaint
4.5.4,Marius
4.5.5,Cosette
4.5.6,Cosette
4.5.6,Marius
4.6.1,Mme.Thenardier
4.6.1,Magnon
4.6.2,Gavroche
4.6.2,Child1
4.6.2,Child2
4.6.2,Montparnasse
4.6.3,Babet
4.6.3,Brujon
4.6.3,Gueulemer
4.6.3,Thenardier
4.6.3,Gavroche
4.8.1,Cosette
4.8.1,Marius
4.8.2,Cosette
4.8.2,Marius
4.8.3,Marius
4.8.3,Courfeyrac
4.8.3,Cosette
4.8.3,Eponine
4.8.4,Eponine
4.8.4,Babet
4.8.4,Brujon
4.8.4,Gueulemer
4.8.4,Thenardier
4.8.4,Claquesous
4.8.4,Montparnasse
4.8.6,Marius
4.8.6,Cosette
4.8.7,Gillenormand
4.8.7,Mlle.Gillenormand
4.8.7,Marius
4.9.1,Valjean
4.9.2,Marius
4.9.2,Courfeyrac
4.9.2,Eponine
4.9.3,Mabeuf
4.9.3,MotherPlutarch
5.1.10,Cosette
5.1.11,Enjolras
5.1.11,Gavroche
5.1.11,Bossuet
5.1.11,Valjean
5.1.12,Enjolras
5.1.13,Enjolras
5.1.13,Courfeyrac
5.1.14,Courfeyrac
5.1.14,Bossuet
5.1.14,Enjolras
5.1.15,Gavroche
5.1.15,Courfeyrac
5.1.16,Child1
5.1.16,Child2
5.1.17,Enjolras
5.1.17,Combeferre
5.1.17,Courfeyrac
5.1.18,Enjolras
5.1.18,Combeferre
5.1.18,Bossuet
5.1.18,Courfeyrac
5.1.18,Feuilly
5.1.18,Valjean
5.1.18,Javert
5.1.19,Valjean
5.1.19,Javert
5.1.19,Marius
5.1.19,Enjolras
5.1.2,Enjolras
5.1.2,Combeferre
5.1.2,Courfeyrac
5.1.2,Feuilly
5.1.2,Joly
5.1.2,Bossuet
5.1.21,Enjolras
5.1.21,Marius
5.1.21,Courfeyrac
5.1.21,Bossuet
5.1.21,Feuilly
5.1.21,Combeferre
5.1.21,Joly
5.1.22,Enjolras
5.1.23,Enjolras
5.1.23,Grantaire
5.1.24,Valjean
5.1.24,Marius
5.1.3,Enjolras
5.1.4,Enjolras
5.1.4,Combeferre
5.1.4,Marius
5.1.4,Valjean
5.1.5,Enjolras
5.1.6,Enjolras
5.1.6,Javert
5.1.6,Valjean
5.1.7,Enjolras
5.1.7,Bossuet
5.1.7,Courfeyrac
5.1.7,Combeferre
5.1.7,Gavroche
5.1.8,Marius
5.1.8,Gavroche
5.1.8,Enjolras
