source,target,value,groupsource,grouptarget
Toronto Raptors,Memphis Grizzlies,23,Toronto Raptors,Memphis Grizzlies
Los Angeles Clippers,Los Angeles Lakers,22,Los Angeles Clippers,Los Angeles Lakers
Sacramento Kings,Toronto Raptors,22,Sacramento Kings,Toronto Raptors
Toronto Raptors,Sacramento Kings,21,Toronto Raptors,Sacramento Kings
Boston Celtics,Brooklyn Nets,20,Boston Celtics,Brooklyn Nets
Denver Nuggets,Memphis Grizzlies,19,Denver Nuggets,Memphis Grizzlies
New York Knicks,Toronto Raptors,19,New York Knicks,Toronto Raptors
Brooklyn Nets,Boston Celtics,18,Brooklyn Nets,Boston Celtics
Phoenix Suns,Los Angeles Lakers,18,Phoenix Suns,Los Angeles Lakers
Indiana Pacers,San Antonio Spurs,17,Indiana Pacers,San Antonio Spurs
Boston Celtics,Miami Heat,17,Boston Celtics,Miami Heat
Minnesota Timberwolves,Washington Wizards,17,Minnesota Timberwolves,Washington Wizards
Milwaukee Bucks,Dallas Mavericks,16,Milwaukee Bucks,Dallas Mavericks
Indiana Pacers,Phoenix Suns,16,Indiana Pacers,Phoenix Suns
New Orleans Pelicans,Los Angeles Lakers,15,New Orleans Pelicans,Los Angeles Lakers
Phoenix Suns,Washington Wizards,15,Phoenix Suns,Washington Wizards
Los Angeles Clippers,Dallas Mavericks,15,Los Angeles Clippers,Dallas Mavericks
Detroit Pistons,Milwaukee Bucks,14,Detroit Pistons,Milwaukee Bucks
Utah Jazz,Golden State Warriors,14,Utah Jazz,Golden State Warriors
Washington Wizards,Denver Nuggets,14,Washington Wizards,Denver Nuggets
Phoenix Suns,Los Angeles Clippers,14,Phoenix Suns,Los Angeles Clippers
Los Angeles Clippers,Charlotte Bobcats,14,Los Angeles Clippers,Charlotte Bobcats
Golden State Warriors,Denver Nuggets,14,Golden State Warriors,Denver Nuggets
New Orleans Pelicans,Portland Trail Blazers,14,New Orleans Pelicans,Portland Trail Blazers
Chicago Bulls,Indiana Pacers,14,Chicago Bulls,Indiana Pacers
Dallas Mavericks,Atlanta Hawks,14,Dallas Mavericks,Atlanta Hawks
Indiana Pacers,Toronto Raptors,13,Indiana Pacers,Toronto Raptors
Charlotte Bobcats,Dallas Mavericks,13,Charlotte Bobcats,Dallas Mavericks
Memphis Grizzlies,Los Angeles Lakers,13,Memphis Grizzlies,Los Angeles Lakers
New York Knicks,Denver Nuggets,13,New York Knicks,Denver Nuggets
New York Knicks,Los Angeles Lakers,12,New York Knicks,Los Angeles Lakers
Atlanta Hawks,Dallas Mavericks,12,Atlanta Hawks,Dallas Mavericks
Atlanta Hawks,Milwaukee Bucks,12,Atlanta Hawks,Milwaukee Bucks
Minnesota Timberwolves,Denver Nuggets,12,Minnesota Timberwolves,Denver Nuggets
New Orleans Pelicans,Dallas Mavericks,12,New Orleans Pelicans,Dallas Mavericks
Indiana Pacers,New York Knicks,12,Indiana Pacers,New York Knicks
Washington Wizards,Miami Heat,12,Washington Wizards,Miami Heat
Minnesota Timberwolves,Dallas Mavericks,12,Minnesota Timberwolves,Dallas Mavericks
Phoenix Suns,Indiana Pacers,12,Phoenix Suns,Indiana Pacers
New York Knicks,Sacramento Kings,12,New York Knicks,Sacramento Kings
Los Angeles Clippers,Indiana Pacers,11,Los Angeles Clippers,Indiana Pacers
Sacramento Kings,New Orleans Pelicans,11,Sacramento Kings,New Orleans Pelicans
New York Knicks,Miami Heat,11,New York Knicks,Miami Heat
Los Angeles Clippers,Phoenix Suns,11,Los Angeles Clippers,Phoenix Suns
